,id,time,prediction,location
0,0,2023-05-01 00:00:00,0.2181068807752441,B
1,1,2023-05-01 01:00:00,0.0,B
2,2,2023-05-01 02:00:00,0.1078492627430328,B
3,3,2023-05-01 03:00:00,15.181955956043604,B
4,4,2023-05-01 04:00:00,72.00370825546047,B
5,5,2023-05-01 05:00:00,159.88222270883463,B
6,6,2023-05-01 06:00:00,306.3333237927846,B
7,7,2023-05-01 07:00:00,387.0125932249669,B
8,8,2023-05-01 08:00:00,461.4671880678252,B
9,9,2023-05-01 09:00:00,503.50463233271023,B
10,10,2023-05-01 10:00:00,436.4686290315728,B
11,11,2023-05-01 11:00:00,533.551951862809,B
12,12,2023-05-01 12:00:00,505.90938522528734,B
13,13,2023-05-01 13:00:00,426.1181701429613,B
14,14,2023-05-01 14:00:00,388.6940925260772,B
15,15,2023-05-01 15:00:00,299.6763860662996,B
16,16,2023-05-01 16:00:00,170.09608573562394,B
17,17,2023-05-01 17:00:00,92.06277767370575,B
18,18,2023-05-01 18:00:00,42.22645238153781,B
19,19,2023-05-01 19:00:00,3.990569014735805,B
20,20,2023-05-01 20:00:00,0.0,B
21,21,2023-05-01 21:00:00,0.0,B
22,22,2023-05-01 22:00:00,0.0,B
23,23,2023-05-01 23:00:00,0.0,B
24,24,2023-05-06 00:00:00,0.0,B
25,25,2023-05-06 01:00:00,0.1946800004808921,B
26,26,2023-05-06 02:00:00,1.837996784764376,B
27,27,2023-05-06 03:00:00,23.39934881710299,B
28,28,2023-05-06 04:00:00,108.72197276706044,B
29,29,2023-05-06 05:00:00,239.69811032127728,B
30,30,2023-05-06 06:00:00,290.64596298450795,B
31,31,2023-05-06 07:00:00,427.4066499864674,B
32,32,2023-05-06 08:00:00,558.3502725761997,B
33,33,2023-05-06 09:00:00,578.7817885870761,B
34,34,2023-05-06 10:00:00,560.9061455608171,B
35,35,2023-05-06 11:00:00,642.3670108639294,B
36,36,2023-05-06 12:00:00,669.8718597086516,B
