,id,time,prediction,location
0,0,2023-05-01 00:00:00,0.0,B
1,1,2023-05-01 01:00:00,0.2524200068391047,B
2,2,2023-05-01 02:00:00,0.0,B
3,3,2023-05-01 03:00:00,11.190782737848696,B
4,4,2023-05-01 04:00:00,54.616793132476495,B
5,5,2023-05-01 05:00:00,159.65480966360647,B
6,6,2023-05-01 06:00:00,312.4238155712643,B
7,7,2023-05-01 07:00:00,392.3673886902002,B
8,8,2023-05-01 08:00:00,481.7553943795185,B
9,9,2023-05-01 09:00:00,487.2745252357334,B
10,10,2023-05-01 10:00:00,483.031992971389,B
11,11,2023-05-01 11:00:00,454.1131816746709,B
12,12,2023-05-01 12:00:00,412.0985422929767,B
13,13,2023-05-01 13:00:00,455.2810114235492,B
14,14,2023-05-01 14:00:00,450.75090486594047,B
15,15,2023-05-01 15:00:00,329.60664494621795,B
16,16,2023-05-01 16:00:00,181.725006212052,B
17,17,2023-05-01 17:00:00,107.16211224088596,B
18,18,2023-05-01 18:00:00,42.37502586168363,B
19,19,2023-05-01 19:00:00,2.801239100215876,B
20,20,2023-05-01 20:00:00,1.100259996422419,B
21,21,2023-05-01 21:00:00,0.8336933275251266,B
22,22,2023-05-01 22:00:00,0.0,B
23,23,2023-05-01 23:00:00,0.0,B
24,24,2023-05-06 00:00:00,1.1708999410470695,B
25,25,2023-05-06 01:00:00,0.262056836499882,B
26,26,2023-05-06 02:00:00,1.8572637698732504,B
27,27,2023-05-06 03:00:00,21.40161904509351,B
28,28,2023-05-06 04:00:00,111.77215708831946,B
29,29,2023-05-06 05:00:00,235.16743655495125,B
30,30,2023-05-06 06:00:00,248.23340926055224,B
31,31,2023-05-06 07:00:00,384.57553150041855,B
32,32,2023-05-06 08:00:00,525.8548803480445,B
33,33,2023-05-06 09:00:00,581.4186844520797,B
34,34,2023-05-06 10:00:00,605.8750310964625,B
35,35,2023-05-06 11:00:00,672.5922722311403,B
36,36,2023-05-06 12:00:00,644.0616328916847,B
37,37,2023-05-06 13:00:00,600.919397983718,B
38,38,2023-05-06 14:00:00,550.0097960669247,B
39,39,2023-05-06 15:00:00,382.5508374988987,B
40,40,2023-05-06 16:00:00,274.98600462750204,B
41,41,2023-05-06 17:00:00,145.9815466508099,B
